Subject,Trial,Word,Actual RT,logRT
41,9,crayon,675,6.514712691
41,12,eggbeater,651,6.478509642
41,15,spoon,502,6.21860012
41,17,leech,498,6.210600077
41,18,treadmill,535,6.282266747
41,19,ferret,510,6.234410726
41,21,ladle,639,6.459904454
41,25,buffalo,473,6.159095388
41,26,skyscraper,576,6.356107661
41,36,beetle,785,6.665683718
41,40,plunger,509,6.232448017
41,41,mosquito,579,6.361302478
41,44,backpack,749,6.618738984
41,46,deer,519,6.251903883
41,51,rake,514,6.242223265
41,56,cave,496,6.206575927
41,59,lawnmower,763,6.637258031
41,60,condor,621,6.431331082
41,64,tambourine,640,6.461468176
41,65,submarine,621,6.431331082
41,67,popsicle,499,6.212606096
41,68,paddle,552,6.313548046
41,71,amphitheater,568,6.342121419
42,8,bear,581,6.364750757
42,9,crayon,444,6.095824562
42,12,eggbeater,1158,7.054449658
42,15,spoon,461,6.133398043
42,18,treadmill,830,6.721425701
42,19,ferret,1110,7.012115294
42,21,ladle,613,6.418364936
42,23,zipper,662,6.495265556
42,25,buffalo,500,6.214608098
42,26,skyscraper,590,6.380122537
42,30,pistol,777,6.65544035
42,31,lotion,631,6.447305863
42,35,stadium,525,6.263398263
42,36,beetle,641,6.463029457
42,40,plunger,560,6.327936784
42,41,mosquito,627,6.440946541
42,44,backpack,608,6.410174882
42,46,deer,819,6.708084084
42,47,bulldog,604,6.403574198
42,51,rake,1208,7.096721378
42,54,donkey,492,6.198478716
42,56,cave,952,6.858565035
42,58,napkin,397,5.983936281
42,59,lawnmower,726,6.587550015
42,60,condor,1005,6.91274282
42,65,submarine,738,6.603943825
42,67,popsicle,1095,6.998509642
42,68,paddle,1042,6.948897222
43,8,bear,489,6.192362489
43,9,crayon,519,6.251903883
43,12,eggbeater,800,6.684611728
43,15,spoon,597,6.391917113
43,17,leech,573,6.350885717
43,18,treadmill,619,6.428105273
43,19,ferret,591,6.381816017
43,21,ladle,707,6.561030666
43,23,zipper,774,6.651571874
43,25,buffalo,715,6.572282543
43,26,skyscraper,731,6.59441346
43,30,pistol,613,6.418364936
43,31,lotion,506,6.226536669
43,35,stadium,622,6.432940093
43,36,beetle,663,6.49677499
43,40,plunger,732,6.595780514
43,41,mosquito,741,6.608000625
43,44,backpack,846,6.74051936
43,46,deer,647,6.472346295
43,47,bulldog,723,6.583409222
43,49,mink,772,6.64898455
43,51,rake,819,6.708084084
43,54,donkey,796,6.679599186
43,56,cave,702,6.553933404
43,58,napkin,885,6.785587645
43,59,lawnmower,816,6.704414355
43,60,condor,785,6.665683718
43,64,tambourine,788,6.66949809
43,65,submarine,762,6.635946556
43,67,popsicle,719,6.577861358
43,68,paddle,916,6.820016365
43,71,amphitheater,781,6.66057515
45,8,bear,549,6.308098442
45,9,crayon,481,6.17586727
45,12,eggbeater,471,6.154858094
45,15,spoon,432,6.068425588
45,19,ferret,875,6.774223886
45,21,ladle,478,6.169610732
45,23,zipper,431,6.06610809
45,25,buffalo,352,5.863631176
45,26,skyscraper,431,6.06610809
45,31,lotion,469,6.150602768
45,35,stadium,488,6.190315406
45,36,beetle,387,5.958424693
45,40,plunger,395,5.978885765
45,41,mosquito,501,6.216606101
45,44,backpack,471,6.154858094
45,46,deer,458,6.126869184
45,47,bulldog,422,6.045005314
45,49,mink,692,6.539585956
45,51,rake,438,6.08221891
45,54,donkey,451,6.11146734
45,56,cave,478,6.169610732
45,58,napkin,437,6.079933195
45,59,lawnmower,696,6.54534966
45,65,submarine,572,6.349138991
45,68,paddle,546,6.302618976
45,71,amphitheater,733,6.597145702
46,8,bear,496,6.206575927
46,9,crayon,419,6.03787092
46,12,eggbeater,513,6.240275845
46,15,spoon,417,6.033086222
46,17,leech,473,6.159095388
46,18,treadmill,477,6.167516491
46,19,ferret,610,6.413458957
46,21,ladle,599,6.395261598
46,23,zipper,464,6.139884552
46,25,buffalo,401,5.993961427
46,26,skyscraper,445,6.098074282
46,30,pistol,441,6.089044875
46,31,lotion,604,6.403574198
46,35,stadium,416,6.03068526
46,36,beetle,420,6.040254711
46,40,plunger,416,6.03068526
46,41,mosquito,515,6.244166901
46,44,backpack,453,6.115892125
46,46,deer,383,5.948034989
46,47,bulldog,445,6.098074282
46,49,mink,606,6.406879986
46,51,rake,541,6.293419279
46,54,donkey,473,6.159095388
46,56,cave,416,6.03068526
46,58,napkin,923,6.827629235
46,59,lawnmower,556,6.320768294
46,60,condor,457,6.124683391
46,64,tambourine,548,6.306275287
46,65,submarine,503,6.22059017
46,67,popsicle,478,6.169610732
46,68,paddle,504,6.222576268
50,8,bear,515,6.244166901
50,9,crayon,539,6.289715571
50,12,eggbeater,710,6.56526497
50,15,spoon,584,6.369900983
50,17,leech,704,6.556778356
50,18,treadmill,629,6.444131257
50,19,ferret,625,6.43775165
50,21,ladle,710,6.56526497
50,23,zipper,648,6.473890696
50,25,buffalo,703,6.555356892
50,26,skyscraper,616,6.423246964
50,30,pistol,561,6.329720906
50,31,lotion,668,6.504288174
50,35,stadium,599,6.395261598
50,36,beetle,677,6.517671273
50,40,plunger,668,6.504288174
50,41,mosquito,900,6.802394763
50,44,backpack,548,6.306275287
50,46,deer,624,6.436150368
