Subject,Item,Status,Manipulability,Actual RT,Accuracy
41,tepee,Old,nonmanipulable,548,1
41,potter24,New,NA,700,1
41,Laine-LUISTI,New,NA,572,1
41,bellows,New,manipulable,666,1
41,potter9,Old,NA,529,0
41,legos,Old,manipulable,564,1
41,heater,New,nonmanipulable,561,1
41,Laine-RIITMOTT,Old,NA,500,0
41,mouse,New,manipulable,798,1
41,Eals23,Old,NA,582,0
41,whisk,New,manipulable,723,1
41,razor,New,manipulable,789,1
41,Plank17,Old,NA,737,0
41,chimney,Old,nonmanipulable,487,1
41,Eals14,New,NA,631,1
41,sloth,Old,nonmanipulable,546,1
41,stamp,New,manipulable,540,1
41,battery,New,manipulable,604,1
41,Laine-HOYLA,New,NA,562,1
41,Eals08,Old,NA,674,1
41,whale,New,nonmanipulable,511,0
41,Eals12,New,NA,636,1
41,potter12,Old,NA,567,1
41,potter16,New,NA,691,1
41,needle,Old,manipulable,625,1
41,frisbee,New,manipulable,547,1
41,moose,New,nonmanipulable,569,1
41,kirk1,Old,NA,575,1
41,Eals19,New,NA,876,1
41,Plank45,New,NA,742,1
41,drawer,New,nonmanipulable,631,1
41,Laine-ROVE,Old,NA,675,0
41,potter11,New,NA,582,1
41,headphones,Old,manipulable,654,1
41,ruler,Old,manipulable,553,1
41,Laine-AMPUUSI,New,NA,651,1
41,potter17,Old,NA,668,0
41,battleship,Old,nonmanipulable,649,1
41,Plank25,New,NA,547,1
41,Plank36,New,NA,504,1
41,Eals22,Old,NA,476,0
41,jellyfish,New,nonmanipulable,710,1
41,Plank4,Old,NA,617,0
41,yo-yo,Old,manipulable,523,1
41,ladybug,Old,nonmanipulable,543,1
41,Eals26,New,NA,534,1
41,crab,Old,nonmanipulable,527,1
41,potter22,Old,NA,712,0
41,Laine-JYRSIN,Old,NA,637,0
41,bucket,New,manipulable,669,1
41,Plank5,Old,NA,923,0
41,fountain,New,nonmanipulable,796,1
41,cymbals,New,manipulable,532,1
41,watering-can,Old,manipulable,608,0
41,Plank11,New,NA,581,1
41,starfish,New,nonmanipulable,592,1
41,Laine-karttu,Old,NA,500,0
41,ram,New,nonmanipulable,669,0
41,Plank37,New,NA,547,1
41,potter7,Old,NA,504,0
41,Plank13,Old,NA,560,0
41,hamster,Old,nonmanipulable,515,1
41,pitcher,New,manipulable,489,0
41,teapot,Old,manipulable,511,0
41,potter26,Old,NA,570,0
41,Plank3,Old,NA,550,0
41,Laine-tuura,New,NA,528,1
41,matches,Old,manipulable,687,1
41,potter14,New,NA,585,1
41,hippopotamus,Old,nonmanipulable,524,1
41,potter6,New,NA,592,1
41,frog,New,nonmanipulable,678,1
41,floss,Old,manipulable,556,1
41,firetruck,New,nonmanipulable,712,1
41,Laine-NORHA,Old,NA,596,1
41,camcorder,Old,manipulable,600,1
41,weasel,New,nonmanipulable,767,1
41,Laine-KALKKU,Old,NA,709,1
41,potter8,Old,NA,724,0
41,Laine-LAVISTIN,New,NA,590,1
41,tank,New,nonmanipulable,609,1
41,bottle,New,manipulable,665,1
41,Laine-naskain,Old,NA,584,0
41,llama,Old,nonmanipulable,662,0
41,toaster,New,manipulable,635,1
41,Plank48,New,NA,604,1
41,potter3,New,NA,585,1
41,Plank49,Old,NA,570,0
41,dolphin,Old,nonmanipulable,518,1
41,trombone,Old,manipulable,694,0
41,brain,New,nonmanipulable,674,1
41,potter15,Old,NA,615,0
41,satellite,New,nonmanipulable,694,1
41,tape,Old,manipulable,585,1
41,stoplight,Old,nonmanipulable,773,0
41,Laine-MAALITSA,Old,NA,641,0
41,Laine-LISTIN,New,NA,500,1
41,Laine-kosseli,Old,NA,719,0
41,mammoth,New,nonmanipulable,964,1
41,platypus,Old,nonmanipulable,751,0
41,Laine-pynna,Old,NA,693,1
41,compass,New,manipulable,549,1
41,potter4,New,NA,503,1
41,Plank50,Old,NA,632,0
41,hose,Old,manipulable,583,0
41,barbell,Old,manipulable,522,1
41,Laine-HAAHLA,New,NA,658,1
41,seaturtle,New,nonmanipulable,754,0
41,plank108,New,NA,532,1
41,lighthouse,Old,nonmanipulable,681,0
41,Laine-liippa,New,NA,528,1
41,plant,Old,nonmanipulable,557,1
41,Laine-pintta,New,NA,537,1
41,strainer,Old,manipulable,618,0
41,colander,New,manipulable,637,1
41,Eals10,Old,NA,892,0
41,Eals29,Old,NA,693,0
41,potter29,New,NA,610,1
41,vacuum,Old,manipulable,788,1
41,Eals32,New,NA,873,0
41,potter1,New,NA,544,1
41,shark,Old,nonmanipulable,508,1
41,potter27,New,NA,642,1
41,saturn,Old,nonmanipulable,555,1
41,mug,New,manipulable,824,0
41,Laine-vemmel,New,NA,633,1
41,Laine-PALIN,Old,NA,850,1
41,cane,New,manipulable,667,1
42,tepee,Old,nonmanipulable,850,1
42,potter24,New,NA,630,1
42,Laine-LUISTI,New,NA,503,1
42,bellows,New,manipulable,869,1
42,potter9,Old,NA,684,0
42,legos,Old,manipulable,916,1
42,heater,New,nonmanipulable,505,1
42,Laine-RIITMOTT,Old,NA,573,1
42,mouse,New,manipulable,650,1
42,Eals23,Old,NA,816,0
42,whisk,New,manipulable,523,0
42,razor,New,manipulable,688,1
42,Plank17,Old,NA,498,1
42,chimney,Old,nonmanipulable,461,1
42,Eals14,New,NA,700,1
42,sloth,Old,nonmanipulable,531,1
42,stamp,New,manipulable,630,1
42,battery,New,manipulable,704,1
42,Laine-HOYLA,New,NA,684,1
42,Eals08,Old,NA,588,0
42,whale,New,nonmanipulable,832,0
42,Eals12,New,NA,623,1
42,potter12,Old,NA,730,1
42,potter16,New,NA,631,1
42,needle,Old,manipulable,482,1
42,frisbee,New,manipulable,648,1
42,moose,New,nonmanipulable,622,1
